"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
665833,"Cruz, Oneil","L",78.47589905594417,33.5226338623617,9.386338172360718,-7.3200469907426235,"0.50699300699300699301",7.895261646585725,35.078165333594036,27.18290368700833,26.73940637944208,"572"
691406,"Caminero, Junior","R",78.1265076409495,26.381588868237547,7.3864458692168355,-4.508911013903989,"0.57418397626112759644",7.523688040843352,35.22716269808848,27.703474657245042,28.556188271149978,"674"
666176,"Adell, Jo","R",77.60085168224296,33.119875364661596,7.367295981420737,-5.284707523740992,"0.49532710280373831776",0.0268370009108026,25.73127553007053,25.70443852915975,28.011977319355207,"642"
656941,"Schwarber, Kyle","L",77.02711763081386,30.21184329610637,14.276992406353083,-5.543556446826842,"0.65261627906976744186",11.229886645085745,32.641367556403345,21.41148091131757,25.206322758592545,"688"
592450,"Judge, Aaron","R",76.92657130315503,38.53215304717139,14.621116725336531,-6.163417832271018,"0.52537722908093278464",4.275102189232902,30.601010049784442,26.325907860551514,32.91050544929696,"729"
665489,"Guerrero Jr., Vladimir","R",76.60166131229232,26.618290620210896,1.6651690702558728,-3.146209281910488,"0.34219269102990033223",6.789000106923951,33.87837316552559,27.089373058601662,29.426978672224706,"602"
575929,"Contreras, Willson","R",76.26008982456138,32.818485104429215,9.43979647352046,-1.666013201651646,"0.48830409356725146199",5.009001807608403,28.511593372695653,23.502591565087293,30.088401986549098,"684"
660271,"Ohtani, Shohei","L",76.1574409972677,36.95914095531248,15.599898310446264,-2.6677130378767098,"0.53278688524590163934",-0.759501335085238,28.152090202222475,28.911591537307732,31.8280305719054,"732"
624413,"Alonso, Pete","R",75.89855856,33.52265093280713,10.180491252122694,0.37110270530766576,"0.59600000000000000000",4.583514590879159,28.87921082170538,24.29569623082622,27.32643951772389,"750"
677594,"Rodríguez, Julio","R",75.89137833948335,31.77098878992875,7.2537453452853295,-1.493575244413064,"0.46617466174661746617",11.854739899832001,32.33705648006298,20.482316580230965,29.713661697853336,"813"
695578,"Wood, James","L",75.88412510606072,40.37235843436401,10.26456603121499,1.2689173079621097,"0.39696969696969696970",1.679807929338968,32.703403656324674,31.02359572698572,29.600770121224333,"660"
663586,"Riley, Austin","R",75.86789642954854,32.20494369841924,10.855521613716737,-4.704808539166882,"0.45690834473324213406",6.837208880908831,35.5903004239121,28.753091543003265,28.160365942565374,"731"
673357,"Robert Jr., Luis","R",75.7321342549372,36.531589232155014,12.404248829076268,-5.778361224386541,"0.53859964093357271095",-0.3966454418850705,31.067862805846847,31.464508247731978,26.51591835829769,"557"
680718,"Barger, Addison","L",75.67345561643842,28.403268529127242,10.04189051683203,-6.698519625130285,"0.53228962818003913894",-0.36266457821799136,32.4595437929894,32.82220837120738,25.683163921034186,"511"
660821,"Sánchez, Jesús","L",75.67334761992622,27.17738736830297,7.088705500308143,-1.7617584917809597,"0.50369003690036900369",9.245495827195418,35.34862263059873,26.103126803403317,28.768404387679162,"542"
686948,"Baldwin, Drake","L",75.43890067146285,31.174904398637743,10.156512109356637,2.772973995547193,"0.49640287769784172662",2.944381643254759,29.417128888008378,26.472747244753595,27.909067072143717,"417"
672356,"Arias, Gabriel","R",75.35911859550565,29.290708342147624,9.925416531201725,0.4630697986826643,"0.51123595505617977528",6.171941172963342,35.30564833356464,29.133707160601276,35.31708719441447,"534"
683002,"Henderson, Gunnar","L",75.3354661503068,29.372773346865284,8.528806216169455,1.7283947729910505,"0.49846625766871165644",6.72221088792693,32.78016422536052,26.057953337433595,26.444592410834062,"652"
682985,"Greene, Riley","L",75.17312022500003,44.81328552132927,13.468029835950915,2.655123035074671,"0.40625000000000000000",2.3770252173385638,31.664308944040954,29.287283726702373,25.03390660362643,"800"
683146,"Baty, Brett","L",75.15439960869563,35.19480118476552,8.300977513112747,3.646655671114595,"0.48478260869565217391",-4.130164963967315,26.154904575714422,30.28506953968173,30.05491437396567,"460"
663728,"Raleigh, Cal","R",75.14080455757573,33.90987357701988,17.97412788672488,-8.781916665277608,"0.45454545454545454545",7.708983977056414,36.106828132862056,28.397844155805586,24.24660338196766,"825"
669065,"Stowers, Kyle","L",75.1064678350515,33.855029335410414,11.537982469163014,0.26196456783674,"0.51693667157584683358",2.2257379431165516,31.665295644498105,29.439557701381563,29.3244874016445,"679"
621439,"Buxton, Byron","R",75.06239284779053,33.75625937472897,13.514370705954974,-5.897805627430915,"0.59247135842880523732",4.226438603038429,27.98645195460616,23.760013351567718,28.078301198255666,"611"
682663,"Ramírez, Agustín","R",74.92843421441775,24.99629140633347,7.567448113808037,-3.1424122579101166,"0.53234750462107208872",1.1398755512446286,30.22982156724938,29.0899460160048,30.34520736048989,"541"
656305,"Chapman, Matt","R",74.89064372549024,25.05702229058275,5.251621222266027,-3.224577935771976,"0.50980392156862745098",-1.269543845304225,27.57496072868299,28.844504573987184,30.143606225667078,"510"
669394,"Burger, Jake","R",74.76031471544711,24.993020614909444,7.776657499687192,-3.864653041282689,"0.54268292682926829268",8.065399295803982,31.506969645520716,23.441570349716756,31.851164481021264,"492"
606466,"Marte, Ketel","R",74.73856233261338,32.446279149297425,10.689476483853674,-8.148934731157759,"0.62419006479481641469",6.970360348830647,37.69774327360983,30.727382924779164,22.858791719293098,"463"
682998,"Carroll, Corbin","L",74.69009370426825,25.313646934140056,10.654116386156,-3.0155677131980436,"0.70579268292682926829",6.266424880508164,36.85701496973934,30.590590089231185,29.392352001113085,"656"
