"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
665833,"Cruz, Oneil",572,0.9036334913112164,383,"78.475899056",0.751748251748252,0.3368146214099217,0.22552447552447552,0.2584856396866841,0.17307692307692307,"7.775162535",13,-9.696550326190163,189,0.3304195804195804,193,0.3374125874125874
691406,"Caminero, Junior",674,0.9071332436069987,529,"78.126507641",0.7715133531157271,0.2835538752362949,0.22255192878338279,0.20415879017013233,0.16023738872403562,"8.358093175",13,0.4243835676603216,145,0.21513353115727002,272,0.4035608308605341
666176,"Adell, Jo",642,0.9004207573632539,487,"77.600851682",0.7320872274143303,0.25256673511293637,0.19158878504672897,0.188911704312115,0.14330218068535824,"7.704646028",16,0.6865133719884944,155,0.24143302180685358,221,0.3442367601246106
656941,"Schwarber, Kyle",688,0.8993464052287582,498,"77.027117631",0.7587209302325579,0.3433734939759036,0.24854651162790697,0.25903614457831325,0.1875,"7.542184971",32,10.312786295505447,190,0.2761627906976744,247,0.35901162790697677
592450,"Judge, Aaron",729,0.9033457249070632,486,"76.926571303",0.7105624142661181,0.3292181069958848,0.2194787379972565,0.2345679012345679,0.15637860082304528,"8.134772209",23,27.40196974647044,243,0.3333333333333333,238,0.32647462277091904
665489,"Guerrero Jr., Vladimir",602,0.9107413010590015,475,"76.601661312",0.6677740863787377,0.37684210526315787,0.2973421926910299,0.26105263157894737,0.2059800664451827,"7.615013073",3,2.4854920580537696,127,0.21096345514950166,293,0.4867109634551495
575929,"Contreras, Willson",684,0.9047619047619048,500,"76.260089825",0.6461988304093566,0.294,0.2149122807017544,0.186,0.13596491228070176,"7.963833772",8,-6.703921966779103,184,0.26900584795321636,239,0.34941520467836257
660271,"Ohtani, Shohei",732,0.9037037037037037,503,"76.157440997",0.6352459016393441,0.36381709741550694,0.25,0.27037773359840955,0.18579234972677597,"7.993821708",8,14.42660181125435,229,0.3128415300546448,251,0.34289617486338797
624413,"Alonso, Pete",750,0.9101941747572816,564,"75.89855856",0.6013333333333334,0.3120567375886525,0.23466666666666666,0.21099290780141844,0.15866666666666668,"7.12098688",7,-7.725119715050464,186,0.248,267,0.356
677594,"Rodríguez, Julio",813,0.9073660714285714,573,"75.891378339",0.6027060270602704,0.30715532286212915,0.21648216482164823,0.18150087260034903,0.12792127921279212,"7.665693567",16,-10.897815189834652,240,0.2952029520295203,299,0.3677736777367774
