"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
693821,"Elder, Bryce",577,0.92914653784219,462,"72.919168215",0.33448873483535535,0.36147186147186144,0.28942807625649913,0.2012987012987013,0.1611785095320624,"7.539113847",10,2.8896048280123217,115,0.19930675909878684,257,0.44540727902946275
607536,"Freeland, Kyle",728,0.9168765743073047,596,"72.870651786",0.326923076923077,0.3691275167785235,0.3021978021978022,0.17114093959731544,0.1401098901098901,"7.517161525",24,3.069525936600324,132,0.1813186813186813,319,0.4381868131868132
684007,"Imanaga, Shota",595,0.9399684044233807,460,"72.818292874",0.31932773109243695,0.32608695652173914,0.25210084033613445,0.14565217391304347,0.11260504201680673,"7.553648605",7,-16.506321687331003,135,0.226890756302521,220,0.3697478991596639
670955,"Uceta, Edwin",361,0.9093198992443325,248,"72.803451302",0.3047091412742382,0.2862903225806452,0.19667590027700832,0.14919354838709678,0.10249307479224377,"7.47891349",8,-0.11902019322709112,113,0.31301939058171746,107,0.296398891966759
518876,"Kelly, Merrill",811,0.9236902050113895,624,"72.757775475",0.3501849568434031,0.32371794871794873,0.24907521578298397,0.16185897435897437,0.12453760789149199,"7.477784106",27,-29.463979090593625,187,0.23057953144266338,300,0.36991368680641185
477132,"Kershaw, Clayton",345,0.9375,263,"72.748076232",0.3565217391304347,0.42585551330798477,0.32463768115942027,0.20152091254752852,0.1536231884057971,"7.615694551",5,-6.738695943222943,82,0.23768115942028986,159,0.4608695652173913
676974,"Meyer, Max",436,0.9316239316239316,316,"72.680193968",0.3165137614678899,0.4050632911392405,0.29357798165137616,0.1930379746835443,0.13990825688073394,"7.366838555",10,-6.116897322096465,120,0.27522935779816515,178,0.40825688073394495
676467,"Gordon, Colton",421,0.9014989293361885,354,"72.666137601",0.3159144893111639,0.3163841807909605,0.2660332541567696,0.1497175141242938,0.12589073634204276,"7.430391473",5,10.622326695012482,67,0.15914489311163896,174,0.41330166270783847
543243,"Gray, Sonny",729,0.8966789667896679,558,"72.590909698",0.2921810699588477,0.32616487455197135,0.2496570644718793,0.16308243727598568,0.12482853223593965,"7.418048189",27,-4.551287212371508,171,0.2345679012345679,301,0.41289437585733885
671737,"Bradley, Taj",729,0.91125,575,"72.584273992",0.28532235939643347,0.3095652173913043,0.24417009602194786,0.14956521739130435,0.11796982167352538,"7.242616708",20,-20.22162888644677,154,0.2112482853223594,289,0.39643347050754457
593974,"Peralta, Wandy",314,0.9101449275362319,222,"72.583910541",0.29936305732484075,0.36036036036036034,0.25477707006369427,0.15765765765765766,0.11146496815286625,"7.558957994",9,-11.971785484139163,92,0.2929936305732484,127,0.40445859872611467
669203,"Burnes, Corbin",412,0.9155555555555556,314,"72.53960301",0.31310679611650494,0.3184713375796178,0.24271844660194175,0.14331210191082802,0.10922330097087378,"7.578997573",9,-16.58410432566157,98,0.23786407766990292,156,0.3786407766990291
686799,"Kochanowicz, Jack",678,0.9416666666666667,540,"72.52476028",0.3067846607669616,0.3574074074074074,0.28466076696165193,0.16296296296296298,0.12979351032448377,"7.39182472",11,-6.647902356003826,138,0.20353982300884957,280,0.41297935103244837
571578,"Corbin, Patrick",671,0.9204389574759945,509,"72.523077824",0.3099850968703428,0.36345776031434185,0.2757078986587183,0.16110019646365423,0.12220566318926974,"7.535073413",12,-17.830570539551513,162,0.2414307004470939,285,0.4247391952309985
694297,"Pfaadt, Brandon",811,0.9247434435575826,644,"72.51823529",0.31442663378545005,0.35093167701863354,0.2786683107274969,0.19409937888198758,0.15413070283600494,"7.416538668",22,-12.022443928977658,167,0.2059186189889026,326,0.40197287299630086
621244,"Berríos, José",799,0.9334112149532711,628,"72.511479136",0.28410513141426785,0.35828025477707004,0.2816020025031289,0.160828025477707,0.12640801001251564,"7.45783965",16,-20.109294242597535,171,0.21401752190237797,341,0.4267834793491865
608566,"Márquez, Germán",668,0.8918558077436582,562,"72.499414551",0.31437125748503003,0.37722419928825623,0.31736526946107785,0.1797153024911032,0.15119760479041916,"7.314524566",20,9.278624291977838,106,0.15868263473053892,318,0.47604790419161674
683004,"Leiter, Jack",636,0.9230769230769231,494,"72.469373428",0.2830188679245283,0.3259109311740891,0.2531446540880503,0.1396761133603239,0.10849056603773585,"7.29759467",12,-20.80597009013171,142,0.22327044025157233,232,0.36477987421383645
688138,"Evans, Logan",391,0.9376498800959233,322,"72.462887315",0.2941176470588236,0.37577639751552794,0.309462915601023,0.19875776397515527,0.1636828644501279,"7.463607008",5,-3.228667071752194,69,0.17647058823529413,177,0.45268542199488493
657376,"Schmidt, Clarke",509,0.9073083778966132,382,"72.452136837",0.2888015717092339,0.31151832460732987,0.2337917485265226,0.13350785340314136,0.10019646365422397,"7.195549745",12,-23.560036387223604,127,0.24950884086444008,193,0.3791748526522593
621107,"Eflin, Zach",445,0.8971774193548387,365,"72.446539303",0.2719101123595506,0.3698630136986301,0.30337078651685395,0.1726027397260274,0.14157303370786517,"7.466572045",12,3.0743642200782038,80,0.1797752808988764,201,0.451685393258427
579328,"Kikuchi, Yusei",894,0.917864476386037,682,"72.433314564",0.3087248322147651,0.3255131964809384,0.2483221476510067,0.15835777126099707,0.12080536912751678,"7.307525895",10,-24.316500334149424,212,0.2371364653243848,319,0.3568232662192394
