"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
663656,"Tucker, Kyle",316,0.310126582278481,0.6898734177215189,0.33860759493670883,0.2721518987341772,0.07911392405063292,0.43037974683544306,0.3449367088607595,0.22468354430379747,0.17721518987341772,0.10126582278481013,0.03164556962025317,0.25316455696202533,0.2436708860759494,0.1930379746835443
621020,"Swanson, Dansby",281,0.43416370106761565,0.5658362989323844,0.2704626334519573,0.2313167259786477,0.06405693950177936,0.4092526690391459,0.40213523131672596,0.18861209964412812,0.24555160142348753,0.16725978647686832,0.021352313167259787,0.1637010676156584,0.23487544483985764,0.16725978647686834
807713,"Shaw, Matt",183,0.4371584699453552,0.5628415300546448,0.22404371584699453,0.25136612021857924,0.08743169398907104,0.33879781420765026,0.32786885245901637,0.3333333333333333,0.17486338797814208,0.17486338797814208,0.08743169398907104,0.16393442622950818,0.1530054644808743,0.2459016393442623
663538,"Hoerner, Nico",350,0.44571428571428573,0.5542857142857143,0.25142857142857145,0.24,0.06285714285714286,0.38285714285714284,0.36,0.2571428571428571,0.21142857142857144,0.15714285714285714,0.07714285714285714,0.1714285714285714,0.20285714285714285,0.18
683737,"Busch, Michael",236,0.3728813559322034,0.6271186440677966,0.3728813559322034,0.22033898305084745,0.03389830508474576,0.4322033898305085,0.3220338983050847,0.2457627118644068,0.21610169491525424,0.1228813559322034,0.03389830508474576,0.21610169491525424,0.19915254237288132,0.21186440677966104
608348,"Kelly, Carson",181,0.40331491712707185,0.5966850828729281,0.3259668508287293,0.2154696132596685,0.055248618784530384,0.46408839779005523,0.292817679558011,0.2430939226519337,0.22099447513812154,0.13812154696132597,0.04419889502762431,0.2430939226519337,0.15469613259668505,0.19889502762430938
691718,"Crow-Armstrong, Pete",304,0.3190789473684211,0.680921052631579,0.3717105263157895,0.20394736842105263,0.10526315789473684,0.45394736842105265,0.3223684210526316,0.2236842105263158,0.17105263157894737,0.12171052631578948,0.02631578947368421,0.2828947368421053,0.2006578947368421,0.19736842105263158
673548,"Suzuki, Seiya",284,0.2852112676056338,0.7147887323943662,0.352112676056338,0.28169014084507044,0.08098591549295775,0.426056338028169,0.352112676056338,0.22183098591549297,0.16549295774647887,0.09154929577464789,0.028169014084507043,0.2605633802816901,0.2605633802816901,0.19366197183098594
664023,"Happ, Ian",279,0.36917562724014336,0.6308243727598567,0.2974910394265233,0.25806451612903225,0.07526881720430108,0.4050179211469534,0.3225806451612903,0.2724014336917563,0.20430107526881722,0.13978494623655913,0.025089605734767026,0.20071684587813618,0.1827956989247312,0.24731182795698925
677594,"Rodríguez, Julio",323,0.5015479876160991,0.49845201238390097,0.25696594427244585,0.17956656346749225,0.06191950464396285,0.3746130030959752,0.4148606811145511,0.21052631578947367,0.2476780185758514,0.20743034055727555,0.04643962848297214,0.12693498452012383,0.20743034055727555,0.16408668730650153
663728,"Raleigh, Cal",266,0.2556390977443609,0.744360902255639,0.42857142857142855,0.18796992481203006,0.12781954887218044,0.5526315789473685,0.2631578947368421,0.18421052631578946,0.17293233082706766,0.05639097744360902,0.02631578947368421,0.3796992481203008,0.20676691729323307,0.15789473684210525
641487,"Crawford, J.P.",307,0.43973941368078173,0.5602605863192183,0.24104234527687296,0.2768729641693811,0.04234527687296417,0.30944625407166126,0.34527687296416937,0.34527687296416937,0.1758957654723127,0.16938110749185667,0.09446254071661238,0.13355048859934857,0.1758957654723127,0.250814332247557
668227,"Arozarena, Randy",259,0.40540540540540543,0.5945945945945945,0.28957528957528955,0.22393822393822393,0.08108108108108109,0.38996138996138996,0.39768339768339767,0.21235521235521235,0.16988416988416988,0.1969111969111969,0.03861003861003861,0.22007722007722008,0.20077220077220076,0.17374517374517373
593871,"Polanco, Jorge",250,0.404,0.596,0.268,0.22,0.108,0.484,0.32,0.196,0.24,0.128,0.036,0.244,0.192,0.16
605141,"Betts, Mookie",328,0.3353658536585366,0.6646341463414633,0.3475609756097561,0.24085365853658536,0.07621951219512195,0.39939024390243905,0.3628048780487805,0.23780487804878048,0.18292682926829268,0.10365853658536585,0.04878048780487805,0.21646341463414637,0.25914634146341464,0.18902439024390244
669257,"Smith, Will",218,0.3302752293577982,0.6697247706422019,0.3761467889908257,0.24311926605504589,0.05045871559633028,0.3165137614678899,0.39908256880733944,0.28440366972477066,0.15137614678899083,0.12844036697247707,0.05045871559633028,0.16513761467889906,0.2706422018348624,0.23394495412844038
681624,"Pages, Andy",294,0.36054421768707484,0.6394557823129252,0.3197278911564626,0.282312925170068,0.03741496598639456,0.4013605442176871,0.35714285714285715,0.24149659863945577,0.2108843537414966,0.10884353741496598,0.04081632653061224,0.19047619047619047,0.24829931972789115,0.20068027210884354
624424,"Conforto, Michael",205,0.424390243902439,0.575609756097561,0.2975609756097561,0.22439024390243903,0.05365853658536585,0.3951219512195122,0.36097560975609755,0.24390243902439024,0.21951219512195122,0.17073170731707318,0.03414634146341464,0.175609756097561,0.19024390243902436,0.2097560975609756
669242,"Edman, Tommy",238,0.4579831932773109,0.5420168067226891,0.23949579831932774,0.23949579831932774,0.06302521008403361,0.41596638655462187,0.3487394957983193,0.23529411764705882,0.23109243697478993,0.1722689075630252,0.0546218487394958,0.18487394957983194,0.1764705882352941,0.18067226890756302
