"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
646240,"Devers, Rafael","L","L",22.164422982842545,26.16549580273123,30.845798821737564,-62.518123660014496,28.211863131370727,6.047440148528242
677594,"Rodríguez, Julio","R","R",20.482316580230957,29.713661697853308,30.40374170577163,1.4045883786521811,32.33705648006298,11.906981293729814
691718,"Crow-Armstrong, Pete","L","L",30.843841129550356,26.741826688396202,33.75649264658733,-1.4988134274127702,35.719671740211886,4.971662471889815
682985,"Greene, Riley","L","L",29.287283726702373,25.03390660362645,28.519305858534477,-7.4180710641721275,31.664308944040908,2.5177666218614796
592206,"Castellanos, Nick","R","R",29.457347287907698,29.352370016387262,27.389197684582708,-18.045938733073292,30.788362802586537,1.3922907447917652
621566,"Olson, Matt","L","L",31.073009576928477,30.162503017773645,31.502895990744815,-9.844874222046437,32.096050206784774,1.1320986804399098
592518,"Machado, Manny","R","R",23.857700375863804,30.94737551077238,31.433477144667823,-38.91270107825873,30.849806878220864,6.992106502357011
694192,"Chourio, Jackson","R","R",24.71331072654974,30.496613183147538,40.53158515240613,1.0080082466113132,27.839166288568283,3.1258555620185575
596115,"Story, Trevor","R","R",25.198633678092815,29.832243306710108,35.7553116326534,-25.105919666447324,35.557478298592834,10.470506162679676
572233,"Walker, Christian","R","R",28.5849104618175,26.21696457154475,25.162822305345788,-17.44028648586364,31.018583010525177,2.4871095332360156
624413,"Alonso, Pete","R","R",24.295696230826202,27.326439517723895,30.492594858688122,3.8686236002762895,28.879210821705342,4.583514590879187
553993,"Suárez, Eugenio","R","R",18.780542972573304,23.04629136450201,23.58083612311813,-21.477582116575444,35.60048594576253,16.819942973189256
666969,"García, Adolis","R","R",28.663593659601194,25.410690847786594,29.46575009103654,-15.578873629571609,31.245692402961826,2.636320369092484
680776,"Duran, Jarren","L","L",28.721335332446895,30.974123112812332,22.715715492839415,-2.3897864830359685,30.429340948118288,1.7080056156714036
607208,"Turner, Trea","R","R",28.900299903646648,28.645657313676338,38.1060686858492,0.0006477384171733046,29.317045767908123,0.290668266954647
671218,"Ramos, Heliot","R","R",25.42562375391236,27.770824475647213,28.960531314904824,-5.095597418625139,27.352217081685673,1.9265933277732756
666182,"Bichette, Bo","R","R",27.705234981559695,25.324370411392703,33.58929852007826,2.5287512549275766,25.119321165093126,-2.6401380703357162
667670,"Rooker, Brent","R","R",31.142377281672218,27.406703744508967,27.552742055519573,-14.256548699060492,33.12444656750058,2.0437650302863446
663586,"Riley, Austin","R","R",28.753091543003293,28.16036594256539,30.097197267896437,-10.462276383075515,35.590300423912105,6.890330109575238
660271,"Ohtani, Shohei","L","L",28.911591537307682,31.828030571905455,36.28851687037869,-9.211256888999044,28.15209020222245,-0.7595013350852255
521692,"Perez, Salvador","R","R",29.620924017604587,27.247674009692183,33.099427750986024,-25.17698118311619,30.47670655664325,-3.287763871538951
592450,"Judge, Aaron","R","R",26.32590786055156,32.91050544929691,29.863881912550948,-4.630917937623828,30.60101004978443,4.275102189232882
642715,"Adames, Willy","R","R",29.18182364952548,29.218370907135014,33.15885866944196,-2.226421200985269,31.437368769941777,2.255545120416283
671732,"Butler, Lawrence","L","L",25.97404647261528,31.382298242503477,34.40429064241517,3.4303596701018817,28.98550601037145,3.01145953775616
677951,"Witt Jr., Bobby","R","R",27.30242631072911,25.021518588853677,32.79702041128243,-16.682352458736833,27.975001125659016,-6.6019381124759065
681624,"Pages, Andy","R","R",31.436341412895956,30.067754045079276,17.785583765443388,-15.998958442362184,31.168214585877795,-0.26812682701821444
663993,"Lowe, Nathaniel","L","L",26.266071884633273,30.565443181009325,33.4179553888017,-13.357562655469195,27.365436417656642,1.0993645330233903
621020,"Swanson, Dansby","R","R",30.458496370838994,27.6698758011629,24.112332752039084,-12.484453716897804,32.23560481245526,1.7935107277032998
543760,"Semien, Marcus","R","R",27.870163403009336,23.963363143377656,30.637967160805577,-2.0874676107084733,30.56672820651678,2.773813550974186
668227,"Arozarena, Randy","R","R",20.495105201464803,24.72532496122183,18.934233769102995,3.516417348589255,32.08839556443196,11.654507818850284
678246,"Vargas, Miguel","R","R",30.199704175535658,28.14016109321487,29.385998444690394,-5.770238117549929,35.49359721874428,5.329533323289947
641487,"Crawford, J.P.","L","L",35.044011582685535,27.243632104552383,30.793435939159824,-29.63601391275905,36.49550404284055,1.464459952900114
678882,"Rafaela, Ceddanne","R","R",29.871233231525938,27.02082505572105,23.491833152097204,-18.576309907100942,32.95894458967879,3.087711358152884
668930,"Turang, Brice","L","L",30.57763043334301,27.077560943551948,25.659727817785523,-8.150474541272892,31.543402241796745,0.9657718084537379
641355,"Bellinger, Cody","L","L",32.87546307191104,20.913077931948568,24.863261928637442,-9.494143496074784,29.932888285371618,-2.9425747865394207
641857,"McMahon, Ryan","L","L",23.3456635031095,31.762428811932747,43.11046655523209,0.32872926228143506,26.975356885183626,3.6296933820741444
663656,"Tucker, Kyle","L","L",27.95201744105042,30.283087683776756,36.5185487121351,-2.1993955352161416,28.411487947266735,0.4594705062162454
656941,"Schwarber, Kyle","L","L",21.411480911317593,25.206322758592552,30.597035618334864,-7.526119366297833,32.64136755640339,11.229886645085749
575929,"Contreras, Willson","R","R",23.502591565087286,30.08840198654907,25.596428774264815,-6.571517115878023,28.511593372695643,5.080306969031639
686469,"Pasquantino, Vinnie","L","L",28.974177477170638,31.50181395965759,39.40232190885758,-23.939564251921123,32.55820275447912,-4.430325449897124
